sample_id,lab_code,Site,Country,Chronology,lot_number,stratigraphic_unit,skeletal_element,morphological_id,zooms_id,zooms_id_common
TRAOF100,HZ145,Troia,Portugal,Roman,#15108,1355,Left Femur,Equus asinus,Equus asinus,Donkey
TRAOF101,HZ146,Troia,Portugal,Roman,#15108,1355,Left Scapula,Equus asinus,Equus asinus,Donkey
TRAOF102,HZ147,Troia,Portugal,Roman,#15108,1355,Mandible,Equus asinus,Equus asinus,Donkey
TRAOF104,HZ149,Troia,Portugal,Roman,#15108,1355,Pelvis,Equus asinus,Equus asinus,Donkey
TRAOF105,HZ150,Troia,Portugal,Roman,#15108,1355,Rib,Equus sp.,Equus asinus,Donkey
TRAOF107,HZ152,Troia,Portugal,Roman,#15108,1355,Long bone fragment,Equus sp.,Equus asinus,Donkey
RDA.19.EQ1,HZ156,Rua do Anjos,Portugal,Roman,16132,837,Molar,Equus sp.,Equus asinus,Donkey
RDA.19.EQ2,HZ157,Rua do Anjos,Portugal,Roman,8032,650,Molar,Equus sp.,Equus caballus,Horse
RDA.19.EQ3,HZ158,Rua do Anjos,Portugal,Roman,8261,667,Mandible,Equus sp.,Equus caballus,Horse
RDA.19.EQ4,HZ159,Rua do Anjos,Portugal,Roman,8019,621,Metapode,Equus sp.,Equus caballus,Horse
RDA.19.EQ5,HZ160,Rua do Anjos,Portugal,Roman,8016,692,Metapode,Equus sp.,Equus caballus,Horse
RDA.19.EQ7,HZ161,Rua do Anjos,Portugal,Roman,8026,620,Radius,Equus sp.,Equus caballus,Horse
RDA.19.EQ8,HZ162,Rua do Anjos,Portugal,Roman,6024,881,Pelvis,Equus sp.,Equus caballus,Horse
RDA.19.EQ9,HZ163,Rua do Anjos,Portugal,Roman,16009,830,Astragalus,Equus sp.,Equus asinus,Donkey
RDA.19.EQ10,HZ164,Rua do Anjos,Portugal,Roman,8057,656,Femur,Equus sp.,Equus caballus,Horse
LCB.15.EQ19,HZ153,Largo do Coutador,Portugal,Late Antiquity,NA,279,Metapode,Equus sp.,Equus asinus,Donkey
LCB.15.EQ18,HZ154,Largo do Coutador,Portugal,Late Antiquity,NA,281,Molar,Equus sp.,Equus asinus,Donkey
LCB.15.EQ17,HZ155,Largo do Coutador,Portugal,Late Antiquity,NA,281,Molar,Equus sp.,Equus asinus,Donkey
RNA63EQ11,HZ165,Rua Nova do Almada 63,Portugal,Roman Imperial,NA,276,Molar,Equus sp.,Equus caballus,Horse
RNA63EQ12,HZ166,Rua Nova do Almada 63,Portugal,Roman Imperial,NA,276,Incisor,Equus sp.,Equus asinus,Donkey
BPLX.246,HZ167,Banco de Portugal,Portugal,Roman,NA,246,Cranium,Equus sp.,Equus asinus,Donkey
H4.1070.1,HZ143,Los Morrones 11,Spain,Iron Age,NA,NA,Radius,Equus caballus,Equus caballus,Horse
H4.1070.2,HZ144,Los Morrones 12,Spain,Iron Age,NA,NA,Radius,Equus caballus,Equus caballus,Horse
H4.1075.3,PHD1075.3,Los Morrones 11,Spain,Iron Age,NA,NA,Radius,Equus caballus,Equus caballus,Horse
TRSLOF100,HZ140,Torre Sal,Spain,Iberian,NA,106,Radius,Equus caballus,Equus caballus,Horse
TRSLOF103,PHDTSOF100,Torre Sal,Spain,Iberian,NA,NA,Radius,Equus caballus,Equus caballus,Horse
MJV.1,HZ121,Horta da Torre,Portugal,Late Roman,188,2012 [22] S2,Right Radius,Equus caballus,Equus caballus,Horse
MJV.2,HZ122,Horta da Torre,Portugal,Late Roman,210,2012 [22] S3,Right Metacarpus,Equus caballus,Equus caballus,Horse
MJV.3,HZ123,Cacela - Po\c{c}o Antigo,Portugal,Late Medieval Islamic,710[287],2001 [13] SN.4C,Calcaneum R,Equus sp.,Equus caballus,Horse
MJV.5,HZ125,Cacela - Largo Fortaleza,Portugal,Late Medieval Islamic/Christian,673 [139],S5.Q2 [58] 291,Upper Incisor 1 or 2 R (root),Equus sp.,Equus asinus,Donkey
MJV.7,HZ127,Oficina Senhor Carrilho,Portugal,Medieval Islamic,NA,[7],Metapodial,Equus sp.,Equus caballus,Horse
MJV.11,HZ131,Castillo de Aracena,Spain,Medieval Islamic,2276,2 [2] SondeoCasa,Scapula R,Equus sp.,Equus caballus,Horse
MJV.12,HZ132,Castillo de Aracena,Spain,Late Medieval Islamic/Christian,31,2B [3] Ampliacion,Scapula L,Equus sp.,Equus asinus,Donkey
MJV.13,HZ133,Castillo de Aracena,Spain,Late Medieval Islamic/Christian,30,2B [3] Ampliacion,Scapula R,Equus sp.,Equus caballus,Horse
MJV.14,HZ134,Rua da S\'{e},Portugal,Medieval Islamic,285,[4208],Ulna L,Equus caballus,Equus caballus,Horse
MJV.15,HZ135,Rua da S\'{e},Portugal,Medieval Islamic,360,[4208],Humerus R,Equus sp.,Equus asinus,Donkey
MJV.16,HZ136,Convento das Bernardas,Portugal,Late Modern (18/19th century),NA,Área 7 [7450],Cranium,Equus caballus,Equus caballus,Horse
MJV.17,HZ137,Cerro da Vila,Portugal,Roman Imperial,85,1998 [51] N10-4  ,Metacarpus L,Equus sp.,Equus asinus,Donkey
MJV.18,HZ138,Cerro da Vila,Portugal,Roman Imperial,439,2002 [272] 23 T  ,Ulna R,Equus sp.,Equus asinus,Donkey
MJV.19,HZ139,Cerro da Vila,Portugal,Roman Imperial,910,2002 [113],Maxillar,Equus caballus,Equus caballus,Horse
LARC.265,PHD265,Minho,Portugal,Modern/Reference,NA,NA,Vertebra,Equus caballus,Equus caballus,Horse
LARC.238,PHD238,Minho,Portugal,Modern/Reference,NA,NA,Nasal conchae,Equus caballus,Equus caballus,Horse
LARC.2324,PHD2324,Minho,Portugal,Modern/Reference,NA,NA,Scapula,Equus caballus,Equus caballus,Horse
LARC.1498,PHD1498,Baixo Alentejo,Portugal,Modern/Reference,NA,NA,Vertebra,Equus asinus,Equus asinus,Donkey
LARC.2000,PHD2000,Tr\'{a}s-os-Montes,Portugal,Modern/Reference,NA,NA,Vertebra,Equus asinus,Equus asinus,Donkey
LARC.2313,PHD2313,Tr\'{a}s-os-Montes,Portugal,Modern/Reference,NA,NA,Vertebra,Equus asinus,Equus asinus,Donkey
